Model,P1 mAP50,P2 mAP50,Δ mAP50,P1 Precision,P2 Precision,Δ Precision,P1 Recall,P2 Recall,Δ Recall,P2 mAP50-95
YOLOv8m,0.6578,0.5328,-0.125,0.8682,0.7035,-0.1647,0.6023,0.5417,-0.0606,0.3318
RT-DETR-L,0.5668,0.5998,0.033,0.6895,0.7856,0.0961,0.5382,0.5847,0.0465,0.3757
